date,total_transactions,avg_gas_cost_usd,total_eth_transferred,active_unique_addresses,avg_block_utilization_pct,failed_tx_rate_pct,new_contracts_deployed,token_transfer_count
2026-07-07,2825301,0.1663689738839638,1611878.5263479352,632138,50.54317373784839,0.863,1998,3644043
2026-07-08,2413211,0.2142799410952739,1102690.264493752,572665,50.64662320701827,1.08,2101,3515102
2026-07-09,2395818,0.1661970316174945,1100731.785732881,557532,50.56181974599401,1.447,2313,3390248
2026-07-10,2823931,0.1613146413428327,1352293.9870363516,620392,50.543895908889134,0.833,1596,3292679
2026-07-11,3242618,0.1026923955550584,796453.3434776041,518151,50.54768563457546,0.597,1284,3476970
2026-07-12,2239450,0.1380533828156392,676422.7003938417,538679,50.62357536811146,1.03,1626,3512068
2026-07-13,2695854,0.1607742589715798,1753586.879634052,552432,50.64650023053957,1.119,1785,3163624
2026-07-14,2992020,0.1820683120710449,1609762.374612902,593034,50.46850207854666,1.634,1492,3311949
2026-07-15,2780952,0.1693865842734406,1636168.1912943418,554922,50.61605452761461,1.527,1410,3429086
2026-07-16,2836598,0.1729720748401047,1376252.8870549551,570341,50.63696042833969,1.834,1791,3181079
2026-07-17,2461418,0.1741365315378068,1436469.889840914,525863,50.53159609692206,1.773,1981,3468291
2026-07-18,2595080,0.1041742659570828,489348.4650227639,485499,50.57963641332267,0.727,2340,2992402
2026-07-19,1592187,0.153248690291554,471565.56903750886,430168,50.86385319310595,1.718,1219,2474868
2026-07-20,2551325,0.1897703613910902,1386134.3393271666,558239,50.68660062601009,0.93,1593,3050736
2026-07-21,2816241,0.1476931910213739,1260397.870078531,583199,50.48943278564112,1.17,1584,3235029
2026-07-22,2561990,0.1645228550260673,1292652.6966494094,653631,50.52951500167679,2.61,1640,3171428
2026-07-23,2359636,0.1991561946927824,1372309.155778993,643875,50.538984091382886,0.994,1641,2841603
2026-07-24,2552428,0.1965187836861975,999842.85660343,656810,50.65442326281492,1.118,1425,3004327
2026-07-25,1998222,0.222441193507185,546340.6454371159,549696,50.527334373107976,1.264,1440,3064657
2026-07-26,1538710,0.4231712151931285,691461.0345794451,448343,50.73506685331621,1.947,1331,3071004
2026-07-27,1871418,0.3736196127948975,1567365.843946118,632651,50.46301635633225,1.889,1286,3448447
2026-07-28,1664214,0.4144401059842735,1152273.6288335305,529061,50.56019491097417,1.72,1468,4052591
2026-07-29,1734060,0.3666903451615924,1340459.5681075195,625980,50.58911813786929,1.436,2180,3469865
2026-07-30,1766208,0.7893168041603991,1594637.5954598854,626452,50.54348360732641,1.515,1483,3464294
2026-07-31,1756645,0.443610713075058,1359046.1116574532,566809,50.50642071877096,1.234,1381,3708440
2026-08-01,1570150,0.2003901656768042,496889.5016777113,503981,50.58147283707935,1.639,1262,3456142
2026-08-02,2565587,0.1201745194020753,546072.7662824418,480664,50.58484905033913,0.726,1053,3005466
2026-08-03,2565611,0.2136055839511695,1306444.441653438,571562,50.53178119970234,0.77,1484,2922746
2026-08-04,2442310,0.2246043002999998,1010389.471443536,609276,50.49831432448587,0.913,1397,3479047
2026-08-05,2638964,0.1769007813116344,1320725.3104673612,596965,50.50832159707538,0.782,1541,3345149
2026-08-06,2926155,0.1452785094583108,1585278.5429917653,581367,50.454136912283865,0.699,1375,3004175
2026-08-07,2634626,0.1646011210219213,1539853.5427210894,593924,50.45022608715817,0.766,1337,3417954
2026-08-08,1364930,0.1994043484214044,534948.125421088,438273,50.74996166900628,1.192,1043,4645584
2026-08-09,2913661,0.1017471194842272,512615.7154835943,993715,50.69872710081192,0.658,1167,3214701
2026-08-10,2315258,0.1757070838738665,1196619.1044313405,660325,50.59377151026276,1.157,1299,3912522
2026-08-11,2400554,0.1704600889163808,1243518.407226301,632777,50.5114466247619,1.068,1435,3601498
2026-08-12,2642783,0.161018291679402,1181046.5845639715,581206,50.50421988411459,0.912,1892,3298724
2026-08-13,2716949,0.1331971588670318,988554.4827927424,617472,50.503483055738975,0.728,1548,2957772
2026-08-14,2901172,0.1202616822505155,939655.7582323484,694780,50.50432034391753,0.812,1137,2811688
2026-08-15,2884106,0.0943602309046758,435152.5978137011,505189,50.556563028354894,0.733,1169,2544929
2026-08-16,1875663,0.1330992865640528,462609.6556405976,497974,50.78710237267625,1.383,1113,2134713
2026-08-17,2718405,0.1189019876942496,1304055.7271169988,642128,50.59947728820775,0.78,1427,2610991
2026-08-18,2856958,0.1204336862958388,1089485.440781409,633689,50.57569145000381,0.788,1535,2451074
2026-08-19,2467880,0.6484802132652961,2497714.994301216,620227,50.61601493288562,1.044,1346,2791090
2026-08-20,1975006,0.3840417023526339,3120778.0169930835,710022,50.53573046284047,1.681,1543,3381688
2026-08-21,2002081,0.7140261148302102,2801982.502172916,669057,50.7111964179634,1.675,1764,3195404
2026-08-22,1757714,0.4546763511226593,1236367.9576192417,549388,50.68708814062776,2.038,1576,3598933
2026-08-23,1678773,0.4475591337145335,947556.3971388264,531992,50.63809059835067,1.974,1486,3462922
2026-08-24,1859865,0.8338149326391308,2558176.211182039,639962,50.62544866313148,1.542,1557,3179296
2026-08-25,1994723,0.29650622939817084,2230265.071051433,672803,50.66045889452497,1.364,1709,3459838
